tag1,tag2,site,transect,Y,X,ID,species,class,treatment,status,notes.1,notes.2,DATE,STATUS,c1,c2,ch,canopy,stem_d1,stem_d2,notes
237,,H,1,61.3,-1.5,847,ATV,1,remove,0,left tag,,,,,,,,,,
720,,H,1,61.9,2,1085,ATV,1,control,1,browsed,,,,,,,,,,
238,,H,1,65,1.1,238,ATV,1,control,1,browsed,,,,,,,,,,
242,,H,1,65,-1,848,ATV,1,control,0,left tag,,,,,,,,,,
240,,H,1,66.2,-1.9,240,ATP,1,control,0,left tag,,,,,,,,,,
241,,H,1,77,0.4,241,ATV,1,remove,0,left tag,,,,,,,,,,
244,,H,1,82.3,-0.1,244,ATV,1,control,0,left tag,,,,,,,,,,
247,,H,1,85.4,1.2,247,ATP,1,control,0,left tag,corrected Y position,,,,,,,,,
246,,H,1,99.7,0.2,246,ATV,1,remove,0,left tag,,,,,,,,,,
197,,H,2,5.7,-1.1,197,ATV,2,remove,1,only measured intact infls. ,,,,,,,,,,
196,,H,2,5.9,0.9,196,ATP,2,control,1,,,,,,,,,,,
199,,H,2,11,-3.3,199,ATV,3,remove,1,canopy in 3 parts,,,,,,,,,,
198,,H,2,12,0.4,198,ATP,3,remove,1,,,,,,,,,,,
201,,H,2,18.5,-2.1,201,ATV,2,remove,1,,,,,,,,,,,
200,,H,2,18.6,0.1,200,ATP,2,remove,1,only measured intact infls. ,,,,,,,,,,
